dictionary
"[id, longitude, latitude, time, NDSI_Snow_Cover, NDSI_Snow_Cover_Class, NDSI_Snow_Cover_Basic_QA, NDSI_Snow_Cover_Algorithm_Flags_QA, NDSI, Snow_Albedo_Daily_Tile, Snow_Albedo_Daily_Tile_Class, orbit_pnt, granule_pnt]"
"[2022_08_03, 162.30086817008424, -77.7199925938107, 1659484800000, null, null, null, null, null, null, null, null, null]"
"[2022_08_04, 162.30086817008424, -77.7199925938107, 1659571200000, null, null, null, null, null, null, null, null, null]"
"[2022_08_05, 162.30086817008424, -77.7199925938107, 1659657600000, null, null, null, null, null, null, null, null, null]"
"[2022_08_06, 162.30086817008424, -77.7199925938107, 1659744000000, null, null, null, null, null, null, null, null, null]"
"[2022_08_07, 162.30086817008424, -77.7199925938107, 1659830400000, null, null, null, null, null, null, null, null, null]"
"[2022_08_08, 162.30086817008424, -77.7199925938107, 1659916800000, null, null, null, null, null, null, null, null, null]"
"[2022_08_09, 162.30086817008424, -77.7199925938107, 1660003200000, null, null, null, null, null, null, null, null, null]"
"[2022_08_10, 162.30086817008424, -77.7199925938107, 1660089600000, null, null, null, null, null, null, null, null, null]"
"[2022_08_11, 162.30086817008424, -77.7199925938107, 1660176000000, null, null, null, null, null, null, null, null, null]"
"[2022_08_12, 162.30086817008424, -77.7199925938107, 1660262400000, null, null, null, null, null, null, null, null, null]"
"[2022_08_13, 162.30086817008424, -77.7199925938107, 1660348800000, null, null, null, null, null, null, null, null, null]"
"[2022_08_14, 162.30086817008424, -77.7199925938107, 1660435200000, null, null, null, null, null, null, null, null, null]"
"[2022_08_15, 162.30086817008424, -77.7199925938107, 1660521600000, null, null, null, null, null, null, null, null, null]"
"[2022_08_16, 162.30086817008424, -77.7199925938107, 1660608000000, null, null, null, null, null, null, null, null, null]"
"[2022_08_17, 162.30086817008424, -77.7199925938107, 1660694400000, null, null, null, null, null, null, null, null, null]"
"[2022_08_18, 162.30086817008424, -77.7199925938107, 1660780800000, null, null, null, null, null, null, null, null, null]"
"[2022_08_19, 162.30086817008424, -77.7199925938107, 1660867200000, null, null, null, null, null, null, null, null, null]"
"[2022_08_20, 162.30086817008424, -77.7199925938107, 1660953600000, null, null, null, null, null, null, null, null, null]"
"[2022_08_21, 162.30086817008424, -77.7199925938107, 1661040000000, null, null, null, null, null, null, null, null, null]"
"[2022_08_22, 162.30086817008424, -77.7199925938107, 1661126400000, null, null, null, null, null, null, null, null, null]"
"[2022_08_23, 162.30086817008424, -77.7199925938107, 1661212800000, null, null, null, null, null, null, null, null, null]"
"[2022_08_24, 162.30086817008424, -77.7199925938107, 1661299200000, null, null, null, null, null, null, null, null, null]"
"[2022_08_25, 162.30086817008424, -77.7199925938107, 1661385600000, null, null, null, null, null, null, null, null, null]"
"[2022_08_26, 162.30086817008424, -77.7199925938107, 1661472000000, null, null, null, null, null, null, null, null, null]"
"[2022_08_27, 162.30086817008424, -77.7199925938107, 1661558400000, null, null, null, null, null, null, null, null, null]"
"[2022_08_28, 162.30086817008424, -77.7199925938107, 1661644800000, null, null, null, null, null, null, null, null, null]"
"[2022_08_29, 162.30086817008424, -77.7199925938107, 1661731200000, null, null, null, null, null, null, null, null, null]"
"[2022_08_30, 162.30086817008424, -77.7199925938107, 1661817600000, null, null, null, null, null, null, null, null, null]"
"[2022_08_31, 162.30086817008424, -77.7199925938107, 1661904000000, null, null, null, null, null, null, null, null, null]"
"[2022_09_01, 162.30086817008424, -77.7199925938107, 1661990400000, null, null, null, null, null, null, null, null, null]"
"[2022_09_02, 162.30086817008424, -77.7199925938107, 1662076800000, null, 211, 211, 211, null, null, 111, 0, 0]"
"[2022_09_03, 162.30086817008424, -77.7199925938107, 1662163200000, null, 211, 211, 211, null, null, 111, 4, 5]"
"[2022_09_04, 162.30086817008424, -77.7199925938107, 1662249600000, null, 211, 211, 211, null, null, 111, 4, 5]"
"[2022_09_05, 162.30086817008424, -77.7199925938107, 1662336000000, null, 211, 211, 211, null, null, 111, 4, 5]"
"[2022_09_06, 162.30086817008424, -77.7199925938107, 1662422400000, null, 211, 211, 211, null, null, 111, 3, 4]"
"[2022_09_07, 162.30086817008424, -77.7199925938107, 1662508800000, 85, null, 2, 128, 8547, null, 251, 5, 6]"
"[2022_09_08, 162.30086817008424, -77.7199925938107, 1662595200000, null, 211, 211, 211, null, null, 111, 4, 4]"
"[2022_09_09, 162.30086817008424, -77.7199925938107, 1662681600000, 27, null, 2, 128, 2739, 0, 251, 5, 7]"
"[2022_09_10, 162.30086817008424, -77.7199925938107, 1662768000000, null, 211, 211, 211, null, null, 111, 4, 5]"
"[2022_09_11, 162.30086817008424, -77.7199925938107, 1662854400000, 73, null, 2, 128, 7359, 44, 251, 6, 7]"
"[2022_09_12, 162.30086817008424, -77.7199925938107, 1662940800000, 39, null, 2, 128, 3908, 61, 251, 5, 6]"
"[2022_09_13, 162.30086817008424, -77.7199925938107, 1663027200000, 41, null, 2, 128, 4126, 23, 251, 5, 7]"
"[2022_09_14, 162.30086817008424, -77.7199925938107, 1663113600000, 41, null, 2, 128, 4154, 14, 251, 4, 5]"
"[2022_09_15, 162.30086817008424, -77.7199925938107, 1663200000000, null, 201, 0, 0, null, null, 101, 5, 5]"
"[2022_09_16, 162.30086817008424, -77.7199925938107, 1663286400000, null, 250, 2, 128, 2006, null, 150, 5, 6]"
"[2022_09_17, 162.30086817008424, -77.7199925938107, 1663372800000, 25, 201, 2, 130, 3549, 53, 101, 5, 7]"
"[2022_09_18, 162.30086817008424, -77.7199925938107, 1663459200000, 34, null, 2, 128, 3481, 60, null, 5, 6]"
"[2022_09_19, 162.30086817008424, -77.7199925938107, 1663545600000, 8, 201, 2, 130, 4743, 57, 101, 5, 6]"
"[2022_09_20, 162.30086817008424, -77.7199925938107, 1663632000000, 28, null, 2, 128, 2847, 87, null, 6, 7]"
"[2022_09_21, 162.30086817008424, -77.7199925938107, 1663718400000, 29, null, 2, 144, 2979, 100, null, 5, 7]"
"[2022_09_22, 162.30086817008424, -77.7199925938107, 1663804800000, 32, null, 2, 128, 3187, 76, null, 5, 7]"
"[2022_09_23, 162.30086817008424, -77.7199925938107, 1663891200000, null, 250, 2, 128, 2140, null, 150, 5, 7]"
"[2022_09_24, 162.30086817008424, -77.7199925938107, 1663977600000, 53, 201, 2, 130, 6374, 25, 101, 5, 7]"
"[2022_09_25, 162.30086817008424, -77.7199925938107, 1664064000000, 43, 250, 2, 128, 2939, 50, 150, 5, 7]"
"[2022_09_26, 162.30086817008424, -77.7199925938107, 1664150400000, 49, 201, 2, 130, 5653, 37, 101, 5, 7]"
"[2022_09_27, 162.30086817008424, -77.7199925938107, 1664236800000, 16, 250, 2, 128, 1803, 55, 150, 7, 9]"
"[2022_09_28, 162.30086817008424, -77.7199925938107, 1664323200000, 39, null, 2, 128, 3968, 49, 125, 5, 8]"
"[2022_09_29, 162.30086817008424, -77.7199925938107, 1664409600000, 39, null, 2, 128, 4052, 43, 125, 6, 8]"
"[2022_09_30, 162.30086817008424, -77.7199925938107, 1664496000000, 15, null, 2, 128, 1378, 89, 125, 5, 7]"
"[2022_10_01, 162.30086817008424, -77.7199925938107, 1664582400000, null, 250, 2, 128, 2002, null, 150, 6, 8]"
"[2022_10_02, 162.30086817008424, -77.7199925938107, 1664668800000, 34, null, 2, 128, 3468, 46, null, 5, 7]"
"[2022_10_03, 162.30086817008424, -77.7199925938107, 1664755200000, null, 250, 2, 128, 2330, null, 150, 6, 8]"
"[2022_10_04, 162.30086817008424, -77.7199925938107, 1664841600000, 21, null, 2, 128, 2528, 42, 125, 6, 9]"
"[2022_10_05, 162.30086817008424, -77.7199925938107, 1664928000000, 40, null, 2, 128, 4071, 38, null, 6, 9]"
"[2022_10_06, 162.30086817008424, -77.7199925938107, 1665014400000, 47, null, 2, 128, 4787, 35, null, 6, 8]"
